Sport,Season,Type,Location,Opponent,Conference,Day,Month,Outcome,ScoreFor,ScoreAgainst,Length,StreakBeforeMatch,Attend
MSOC,2019,CT,H,MissouriState,MVC,Sun,11,W,1,1,PK,W2,Y
MSOC,2019,NCAA,A,Kentucky,CUSA,Thu,11,L,1,2,ET,D1,N
MSOC,2020,RS,A,Marquette,BE,Wed,2,L,0,1,ET,L1,N
MSOC,2020,RS,H,NorthernIllinois,MAC,Sun,2,W,2,0,FT,L2,N
MSOC,2020,RS,A,DePaul,BE,Sun,2,D,0,0,2ET,W1,N
MSOC,2020,RS,H,Drake,MVC,Sun,2,D,0,0,2ET,D1,N
MSOC,2020,RS,A,Evansville,MVC,Tue,3,W,2,0,FT,D2,N
MSOC,2020,RS,H,Bradley,MVC,Sun,3,W,2,0,FT,W1,N
MSOC,2020,RS,A,Drake,MVC,Thu,3,L,1,2,FT,W2,N
MSOC,2020,RS,H,MissouriState,MVC,Fri,3,L,0,2,FT,L1,N
MSOC,2020,RS,A,Bradley,MVC,Wed,3,W,3,2,ET,L2,N
MSOC,2020,RS,H,Evansville,MVC,Sun,4,W,3,0,FT,W1,N
MSOC,2020,RS,A,MissouriState,MVC,Thu,4,W,2,0,FT,W2,N
MSOC,2020,CT,A,Drake,MVC,Tue,4,W,4,1,FT,W3,N
MSOC,2020,CT,A,MissouriState,MVC,Sat,4,L,0,1,FT,W4,N
MSOC,2021,RS,A,DePaul,BE,Thu,8,W,2,1,FT,L1,N
MSOC,2021,RS,H,WesternMichigan,MAC,Sun,8,W,4,2,FT,W1,N
MSOC,2021,RS,H,Northwestern,B1G,Fri,9,L,0,1,FT,W2,N
MSOC,2021,RS,A,Michigan,B1G,Mon,9,L,1,2,FT,L1,N
MSOC,2021,RS,H,WesternIllinois,Summit,Sat,9,W,3,0,FT,L2,N
MSOC,2021,RS,A,Evansville,MVC,Sat,9,D,0,0,2ET,W1,N
MSOC,2021,RS,H,Drake,MVC,Sat,9,W,2,1,ET,D1,N
MSOC,2021,RS,A,Bradley,MVC,Wed,9,W,3,0,FT,W1,N
MSOC,2021,RS,H,SIUE,MVC,Sun,10,W,3,0,FT,W2,N
MSOC,2021,RS,A,MissouriState,MVC,Sat,10,L,1,2,ET,W3,N
MSOC,2021,RS,H,Evansville,MVC,Sat,10,W,5,1,FT,L1,N
MSOC,2021,RS,A,Drake,MVC,Sat,10,W,3,0,FT,W1,N
MSOC,2021,RS,H,Bradley,MVC,Wed,10,W,3,1,FT,W2,N
MSOC,2021,RS,A,SIUE,MVC,Sun,10,L,0,1,2ET,W3,N
MSOC,2021,RS,H,MissouriState,MVC,Sat,11,L,1,2,FT,L1,N
MSOC,2021,CT,N,Evansville,MVC,Fri,11,L,2,2,PK,L2,N
MSOC,2022,RS,H,Bucknell,Patriot,Fri,8,W,4,1,FT,L3,Y
MSOC,2022,RS,H,BowlingGreen,MAC,Sun,8,W,1,0,FT,W1,Y
MSOC,2022,RS,A,Northwestern,B1G,Fri,9,D,0,0,FT,W2,Y
MSOC,2022,RS,A,UIC,MVC,Mon,9,D,0,0,FT,D1,Y
MSOC,2022,RS,H,DePaul,BE,Fri,9,W,3,1,FT,D2,N
MSOC,2022,RS,H,IUPUI,HL,Tue,9,W,2,0,FT,W1,N
MSOC,2022,RS,A,Duquesne,A10,Sat,9,L,1,2,FT,W2,N
MSOC,2022,RS,H,GeorgeWashington,A10,Sat,9,W,4,0,FT,L1,Y
MSOC,2022,RS,A,SaintLouis,A10,Sat,10,L,1,2,FT,W1,N
MSOC,2022,RS,A,VCU,A10,Wed,10,D,2,2,FT,L1,N
MSOC,2022,RS,H,Dayton,A10,Sat,10,D,0,0,FT,D1,Y
MSOC,2022,RS,H,LaSalle,A10,Sat,10,W,4,2,FT,D2,N
MSOC,2022,RS,H,ClevelandState,HL,Wed,10,D,1,1,FT,W1,N
MSOC,2022,RS,H,RhodeIsland,A10,Sat,10,D,1,1,FT,D1,Y
MSOC,2022,RS,A,Fordham,A10,Sat,10,W,3,2,FT,D2,N
MSOC,2022,CT,N,GeorgeWashington,A10,Sat,11,W,1,0,FT,W1,Y
MSOC,2022,CT,N,Duquesne,A10,Wed,11,W,1,0,FT,W2,N
MSOC,2022,CT,N,SaintLouis,A10,Sun,11,L,0,0,PK,W3,N
WSOC,2016,RS,A,GreenBay,HL,Fri,8,D,0,0,2ET,L1,N
WSOC,2016,RS,H,Fordham,A10,Sun,8,L,0,1,FT,D2,N
WSOC,2016,RS,A,ArizonaState,P12,Fri,8,L,0,4,FT,L1,N
WSOC,2016,RS,H,Valparaiso,HL,Sun,8,L,2,3,2ET,L2,N
WSOC,2016,RS,A,EasternMichigan,MAC,Sun,9,D,1,1,2ET,L3,N
WSOC,2016,RS,H,WesternMichigan,MAC,Fri,9,L,1,2,FT,D1,N
WSOC,2016,RS,H,Wisconsin,B1G,Mon,9,L,0,2,FT,L1,N
WSOC,2016,RS,N,CSUN,BigWest,Fri,9,L,0,2,FT,L2,N
WSOC,2016,RS,N,CalPoly,BigWest,Sun,9,W,2,1,FT,L3,N
WSOC,2016,RS,A,DePaul,BE,Wed,9,L,1,4,FT,W1,N
WSOC,2016,RS,H,ChicagoState,WAC,Fri,9,W,7,0,FT,L1,N
WSOC,2016,RS,A,MissouriState,MVC,Sun,10,W,2,0,FT,W1,N
WSOC,2016,RS,H,Evansville,MVC,Sat,10,W,1,0,FT,W2,N
WSOC,2016,RS,H,IllinoisState,MVC,Wed,10,L,1,2,FT,W3,N
WSOC,2016,RS,A,NorthernIowa,MVC,Sun,10,L,1,4,FT,L1,N
WSOC,2016,RS,A,IndianaState,MVC,Sun,10,L,0,1,FT,L2,N
WSOC,2016,RS,H,Drake,MVC,Thu,10,L,1,3,FT,L3,N
WSOC,2016,CT,A,NorthernIowa,MVC,Sun,10,W,1,0,FT,L4,N
WSOC,2016,CT,N,Evansville,MVC,Fri,11,L,1,1,PK,W1,N
WSOC,2017,RS,A,OklahomaState,B12,Fri,8,L,0,2,FT,L1,N
WSOC,2017,RS,A,OralRoberts,Summit,Sun,8,W,6,2,FT,L1,N
WSOC,2017,RS,H,Drexel,CAA,Fri,8,L,0,1,FT,W1,N
WSOC,2017,RS,H,Akron,MAC,Sun,8,W,4,1,FT,L1,N
WSOC,2017,RS,N,Mercer,SoCon,Fri,9,W,5,2,FT,W1,N
WSOC,2017,RS,N,CentralMichigan,MAC,Sun,9,L,1,2,ET,W2,N
WSOC,2017,RS,H,IndianaState,MVC,Fri,9,W,3,2,FT,L1,N
WSOC,2017,RS,A,Iowa,B1G,Sun,9,W,3,0,FT,W1,N
WSOC,2017,RS,H,ChicagoState,WAC,Fri,9,W,9,0,FT,W2,N
WSOC,2017,RS,H,DePaul,BE,Sun,9,W,2,0,FT,W3,N
